標題,網址
AIGC工程師的第一門課：整合生成式AI系統,https://courses.taiwanmds.com/product/information?p=9fd5416d7f9b11efb3480242ac110002
從品牌定位到爆款流量| 高效AI自媒體短影音創作實戰,https://courses.taiwanmds.com/product/information?p=94582ea75ade11efb3480242ac110002
Canva AI 圖文行銷全攻略：從基礎到實戰,https://courses.taiwanmds.com/product/information?p=cab4d34c457011efb3480242ac110002
2小時快速入門：Notion AI高效專案管理,https://courses.taiwanmds.com/product/information?p=8c976dec3d0611efb3480242ac110002
零程式快速上手：ChatGPT X 電商輿情分析,https://courses.taiwanmds.com/product/information?p=479f04ab012b11efb3480242ac110002
簡報力大躍進！運用 Gamma 快速製作專業簡報,https://courses.taiwanmds.com/product/information?p=dd85f033012611efb3480242ac110002
新手必備: 用ChatGPT打造職場AI助手,https://courses.taiwanmds.com/product/information?p=3d44cf7e934511eeb3480242ac110002
新手入門：ChatGPT 創作及 Midjourney 圖文應用,https://hahow.in/cr/chatgpt-learning
ChatGPT x WordPress 不寫程式打造內容行銷利器,https://hahow.in/cr/wordpress-chatgpt
Streamlit x ChatGPT 快速打造資料分析網頁,https://hahow.in/cr/python-web-app
資料視覺化入門：玩轉 Excel 職場商用圖表,https://hahow.in/cr/excel-visualization
Python A/B測試：用數據優化銷售轉換率,https://hahow.in/cr/python-abtesting
動畫設計從零開始！AI 與 AE 新手入門課,https://hahow.in/cr/aiae-step01
顧客旅程工具應用：原來顧客和我想的不一樣,https://hahow.in/cr/marketing-cjmcxp
新手必學！最完整的 Excel、Google sheets 試算表實用技巧,https://hahow.in/cr/excel-googlesheets
Python 購物籃分析：多商品推薦與利潤策略,https://hahow.in/cr/python-basket
Excel Power BI 購物籃分析及視覺化實戰,https://hahow.in/cr/excel-powerbi
Python行銷資料科學：基礎語法入門最前線,https://hahow.in/cr/basic-python
Python 輿情應用趣：顧客樣貌分析攻略,https://hahow.in/cr/crawler-analysis
AI 行銷學：用 Python 機器學習創造商業新價值,https://hahow.in/cr/python-ml
Python 0 到 1 基礎商業數據分析實戰,https://hahow.in/cr/python0-1
Python 工業製程 0-1製程資料處理大師,https://hahow.in/cr/python-industry
顧客分類大師：Python x RFM 會員經營新觀點,https://hahow.in/cr/rfm-model
台科 EMBA 年年爆滿的一門 Word 課（A系列）,https://hahow.in/cr/tmr-word1
台科 EMBA 年年爆滿的一門 Word 課（B+C 系列）,https://hahow.in/cr/tmr-word2
不寫程式的數據分析： Excel 商業分析實戰,https://hahow.in/cr/excel-data-analysis